time,DC1,DC2
2026-06-30T20:00:00.000-0400,653130,816504
2026-07-01T20:00:00.000-0400,812372,931776
2026-07-02T20:00:00.000-0400,739799,949517
2026-07-03T20:00:00.000-0400,819029,970735
2026-07-04T20:00:00.000-0400,668637,1034968
2026-07-05T20:00:00.000-0400,837093,987425
2026-07-06T20:00:00.000-0400,839686,958639
2026-07-07T20:00:00.000-0400,866549,904600
2026-07-08T20:00:00.000-0400,879176,958610
2026-07-09T20:00:00.000-0400,887045,954409
2026-07-10T20:00:00.000-0400,609903,976903
2026-07-11T20:00:00.000-0400,611821,1047850
2026-07-12T20:00:00.000-0400,1352325,1026036
2026-07-13T20:00:00.000-0400,1193045,950709
2026-07-14T20:00:00.000-0400,1018629,907030
2026-07-15T20:00:00.000-0400,842318,1029228
2026-07-16T20:00:00.000-0400,851573,972827
2026-07-17T20:00:00.000-0400,631093,947732
2026-07-18T20:00:00.000-0400,605705,1117082
2026-07-19T20:00:00.000-0400,590577,1130838
2026-07-20T20:00:00.000-0400,603138,1215726
2026-07-21T20:00:00.000-0400,650940,1013213
2026-07-22T20:00:00.000-0400,605048,1063391
2026-07-23T20:00:00.000-0400,652963,1164365
2026-07-24T20:00:00.000-0400,823530,624441
2026-07-25T20:00:00.000-0400,1037699,543501
2026-07-26T20:00:00.000-0400,1317304,488135
2026-07-27T20:00:00.000-0400,1309411,512686
2026-07-28T20:00:00.000-0400,1355035,527332
2026-07-29T20:00:00.000-0400,1235773,516427
2026-07-30T20:00:00.000-0400,1185469,525831
2026-07-31T20:00:00.000-0400,1291222,859304
2026-08-01T20:00:00.000-0400,1029880,673217
2026-08-02T20:00:00.000-0400,1152060,510825
2026-08-03T20:00:00.000-0400,995271,397246
